Province_State,Last_Update,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio,Testing_Rate,Date
Diamond Princess,2021-01-03 05:30:33,49,0,NULL,0.0,NULL,2021-01-02
District of Columbia,2021-01-03 05:30:33,29509,792,4181.231570997621,2.683926937544478,129136.27932876984,2021-01-02
Florida,2021-01-03 05:30:33,1354833,21890,6308.080781508778,1.615697285200464,81254.03993912393,2021-01-02
Georgia,2021-01-03 05:30:33,685122,10960,6452.808746529172,1.5997150872399368,51208.16981672483,2021-01-02
Grand Princess,2021-01-03 05:30:33,103,3,NULL,2.912621359223301,NULL,2021-01-02
Guam,2021-01-03 05:30:33,7326,122,4460.844308861407,1.6653016653016652,58577.35235555231,2021-01-02
Hawaii,2021-01-03 05:30:33,22448,289,1585.4540523437147,1.2874198146828226,58112.95088821589,2021-01-02
Idaho,2021-01-03 05:30:33,142199,1448,7957.125230475668,1.018291267871082,30524.071592247623,2021-01-02
Illinois,2021-01-03 05:30:33,975352,18217,7697.015290856776,1.8677359558395328,106035.68342703072,2021-01-02
Indiana,2021-01-03 05:30:33,523090,9562,7769.949254473154,1.8279837121719016,8.569645461622683e-06,2021-01-02
Iowa,2021-01-03 05:30:33,283895,3946,8998.057095405173,1.3899505098716074,37270.80540209884,2021-01-02
Kansas,2021-01-03 05:30:33,229983,2893,7898.873928453988,1.2571756352148236,34754.441162195355,2021-01-02
Kentucky,2021-01-03 05:30:33,273970,2698,6132.275123985126,0.9847793554038764,71867.48000581062,2021-01-02
Louisiana,2021-01-03 05:30:33,315275,7488,6781.866436757577,2.375069383871224,90651.08068888405,2021-01-02
Maine,2021-01-03 05:30:33,25245,358,1878.051973944586,1.4181025945731829,82759.04396032769,2021-01-02
Maryland,2021-01-03 05:30:33,283171,5967,4683.856902780167,2.107207305832872,9.606307313652062e-06,2021-01-02
Massachusetts,2021-01-03 05:30:33,384181,10589,5573.896739689486,3.254195288158446,1.6557791850072462e-05,2021-01-02
Michigan,2021-01-03 05:30:33,538121,13306,5388.291831954738,2.4726780779787445,8.213548066223438e-06,2021-01-02
Minnesota,2021-01-03 05:30:33,417832,5436,7408.852208796602,1.3010013593980356,95537.01376260012,2021-01-02
Mississippi,2021-01-03 05:30:33,220277,4840,7401.410346054583,2.197233483296032,45291.24717882068,2021-01-02
Missouri,2021-01-03 05:30:33,448387,5751,7305.780206301401,1.2825973991217408,59954.51188999693,2021-01-02
Montana,2021-01-03 05:30:33,81944,971,7667.073985430089,1.1849555794200917,74176.20871687104,2021-01-02
Nebraska,2021-01-03 05:30:33,168262,1669,8698.371801605452,0.9919054807383724,91299.456991493,2021-01-02
Nevada,2021-01-03 05:30:33,228871,3148,7430.500273362778,1.3754473043767013,68553.6381923513,2021-01-02
New Hampshire,2021-01-03 05:30:33,46614,769,3428.228498555943,1.649718968550221,76532.88088424673,2021-01-02
New Jersey,2021-01-03 05:30:33,541202,19187,6093.114423357302,3.5452566694136385,87796.19665870692,2021-01-02
New Mexico,2021-01-03 05:30:33,145379,2534,6933.27877475941,1.7430302863549756,95159.35729618392,2021-01-02
New York,2021-01-03 05:30:33,1011665,38093,5200.410351606063,3.7653768787098496,132144.2331303765,2021-01-02
North Carolina,2021-01-03 05:30:33,558437,6892,5324.490154731789,1.2341589113901836,6.750314928827801e-06,2021-01-02
North Dakota,2021-01-03 05:30:33,92376,1317,12189.428156764148,1.4177907439902682,169287.66950720546,2021-01-02
Northern Mariana Islands,2021-01-03 05:30:33,122,2,221.2389380530973,1.639344262295082,31827.57870303206,2021-01-02
Ohio,2021-01-03 05:30:33,714673,13919,6114.012199399441,1.9476040091062623,7.522993215901995e-06,2021-01-02
Oklahoma,2021-01-03 05:30:33,296343,2527,7489.137524636901,0.8527280887350132,67990.71815284975,2021-01-02
Oregon,2021-01-03 05:30:33,116348,1492,2758.540895271564,1.282359817100423,62893.20552703974,2021-01-02
Pennsylvania,2021-01-03 05:30:33,664966,16273,5194.239738840582,2.4471927888042395,30829.584371616005,2021-01-02
Puerto Rico,2021-01-03 05:30:33,77932,1526,2440.1836869781514,1.9581173330595905,43423.85338106907,2021-01-02
Rhode Island,2021-01-03 05:30:33,87949,1957,8302.080216281325,2.225153213794358,186385.75518638128,2021-01-02
South Carolina,2021-01-03 05:30:33,312718,5385,6073.710833423647,1.7219987336833824,62234.08408390911,2021-01-02
South Dakota,2021-01-03 05:30:33,99829,1501,11284.461018313272,1.5035711065922728,6.78190127495453e-06,2021-01-02
Tennessee,2021-01-03 05:30:33,599352,6970,8778.821567586358,1.1625948048525403,83742.1919546932,2021-01-02
Texas,2021-01-03 05:30:33,1827427,28570,6292.466160969553,1.5588450011948112,48302.16057239303,2021-01-02
Utah,2021-01-03 05:30:33,281654,1294,8785.330313123253,0.4594289447336093,70749.11773641451,2021-01-02
Vermont,2021-01-03 05:30:33,7689,139,1232.2332605222207,1.807777344258031,113502.96239196524,2021-01-02
Virgin Islands,2021-01-03 05:30:33,2041,23,1902.7109669239665,1.1268985791278785,33758.4368124697,2021-01-02
